word,tf,df,tfidf
cough,583,433,46.50177067
salir,795,559,46.49847263
butter,747,532,46.49813037
egg,921,627,46.4919715
tranc,676,491,46.49096668
ignit,875,603,46.49063674
sentiment,1122,726,46.49050078
super,2312,1174,46.48974021
communic,790,557,46.48775845
stormi,882,607,46.4868965
annihil,436,335,46.4860117
vultur,639,469,46.48474866
invad,738,528,46.48150974
tread,738,528,46.48150974
worm,904,619,46.48142263
disappoint,913,624,46.47760115
enchant,515,390,46.47723657
mous,576,430,46.47674677
absenc,468,358,46.47589326
thirti,897,616,46.47299498
succeed,636,468,46.47136196
decad,528,399,46.47121964
lamb,1263,792,46.46961778
hopin,870,602,46.46927406
richard,456,350,46.46820545
gotten,714,515,46.46808778
argu,634,467,46.46767642
luego,796,562,46.46506029
nurs,567,425,46.46316359
fui,1611,936,46.46189314
layin,783,555,46.46141133
execut,606,450,46.46072764
ol,2176,1135,46.4596621
soledad,1530,905,46.45583346
cloudi,554,417,46.45547851
fairi,775,551,46.45447303
model,1098,718,46.45372963
pro,1106,722,46.45147184
worship,1879,1036,46.45087272
twilight,1131,734,46.44900065
furi,854,595,46.44881502
tambiÌ©n,943,642,46.44695253
suppli,777,553,46.44241763
civil,780,555,46.43817052
bang,5485,1909,46.43789834
perder,1441,871,46.43762657
fragment,451,348,46.4371604
frent,924,633,46.43689575
peut,1395,852,46.43677577
corpo,577,433,46.43660981
haut,1267,797,46.4365613
mold,695,506,46.43555252
comprend,621,461,46.43465144
alley,1109,725,46.43404616
meadow,543,411,46.4340131
partner,891,616,46.43305329
fright,688,502,46.43302079
aquel,1151,745,46.43092204
accus,686,501,46.43009564
revers,661,486,46.42896516
shove,1236,784,46.42855242
tes,4510,1727,46.42841384
scari,679,497,46.42713732
vivo,1982,1075,46.42491392
servant,636,471,46.42380864
unreal,530,403,46.42289329
infinit,707,514,46.42238001
actor,512,391,46.42132585
punish,1071,708,46.42087924
christian,1032,689,46.42059219
silk,591,443,46.41934765
bowl,954,650,46.41840271
mientra,1407,859,46.41774168
domin,944,645,46.41671342
filth,522,398,46.41650083
perd,519,396,46.41620173
distress,516,394,46.41581649
sane,811,574,46.41557285
quelqu,1047,697,46.41331169
ultim,643,476,46.41314974
bled,775,554,46.41300831
immort,923,635,46.40585004
petit,2682,1296,46.40364848
opportun,693,507,46.40298291
request,490,377,46.40227318
einem,851,597,46.40181798
eu,10720,2633,46.40110087
singin,2017,1090,46.40067972
submit,407,318,46.39979866
cmon,5960,1999,46.39627317
passer,564,427,46.39526726
vom,1114,731,46.39422373
suffoc,952,651,46.39397514
groov,3363,1478,46.39210373
tangl,838,591,46.38763825
winner,1119,734,46.3873676
link,903,626,46.38728176
pave,749,541,46.38688514
televis,996,674,46.38671073
sooth,880,614,46.38436304
sonrisa,933,642,46.38394113
sourir,666,492,46.38370425
lair,889,619,46.3819256
blister,531,406,46.38102338
sock,1080,716,46.38007073
voir,1514,907,46.37896619
bin,6427,2079,46.37724969
channel,695,510,46.37626674
leak,631,471,46.37474829
coeur,1825,1026,46.3745185
llegar,982,668,46.37408329
knot,884,617,46.37351767
glide,730,531,46.37205458
brazo,962,658,46.37165055
wage,789,565,46.37094515
alor,1536,917,46.36822942
studi,819,582,46.36822916
gutter,810,577,46.36811102
confin,509,392,46.36527307
ed,1578,934,46.36510723
chop,1240,792,46.36480884
corp,1142,747,46.36418855
movement,1108,731,46.36299742
plug,717,524,46.36280749
villag,800,572,46.36011155
quon,4091,1652,46.35838451
weav,768,554,46.35806117
hablar,1128,741,46.35768075
centuri,1331,833,46.35650273
crimson,599,452,46.3552463
repent,967,662,46.35456752
saturday,2800,1337,46.35135468
definit,920,638,46.34978802
3x,941,649,46.34952733
male,1404,865,46.34853873
princ,1498,904,46.34723987
steer,633,474,46.34719797
physic,1037,698,46.34601186
famous,1354,844,46.34600363
cleans,843,597,46.3453157
bid,773,558,46.34244083
robe,565,431,46.33814728
vice,790,568,46.33805238
absolut,1141,749,46.33771068
crippl,624,469,46.33699533
collid,1072,716,46.33692897
chamber,594,450,46.3355072
mirar,847,600,46.33491945
satan,2382,1217,46.33410136
june,770,557,46.33260579
hacia,977,669,46.33235045
savag,695,513,46.3321074
frost,680,504,46.33120205
ace,615,464,46.32603962
darker,626,471,46.32529826
involv,797,573,46.32409157
concentr,671,499,46.32399517
suitcas,621,468,46.32285365
sunris,1438,882,46.32250857
challeng,674,501,46.32147425
scienc,1067,715,46.32091229
driven,965,664,46.31870946
15,798,574,46.31827833
dure,720,529,46.3164901
digniti,625,471,46.31536094
presid,1351,846,46.31413229
alibi,817,585,46.31401452
p,2336,1206,46.31029568
guest,564,432,46.31000912
griev,760,553,46.30840996
hater,1427,879,46.30758864
video,1135,749,46.30735234
30,816,585,46.30666351
depart,648,486,46.30611184
altar,664,496,46.3045377
serpent,911,637,46.30385143
sew,526,407,46.30298749
orang,879,620,46.30213247
anguish,409,324,46.30118999
templ,1123,744,46.29973202
leer,533,412,46.29831939
toi,5478,1936,46.29786286
poetri,673,502,46.2973855
circumst,686,510,46.29626989
fifteen,809,582,46.29442971
puerta,1056,712,46.2941502
vacat,707,523,46.29139536
waist,712,526,46.2912722
nacht,2750,1332,46.29117695
leaf,744,545,46.29020993
naiv,503,392,46.28942614
eventu,685,510,46.28731674
temptat,1511,916,46.28607226
sicken,431,341,46.28515399
boca,1736,1004,46.2848118
aid,683,509,46.2841148
sÌ_lo,2893,1373,46.28375593
sugar,3704,1578,46.28360718
inde,876,620,46.28180863
andar,1451,892,46.27986307
asÌ_,3129,1437,46.27839966
current,521,405,46.27793936
doorway,629,476,46.2765467
overwhelm,664,498,46.27442041
letra,390,311,46.27305158
meno,1500,913,46.27262592
tragic,799,578,46.27258197
whom,869,617,46.2716976
pui,1275,817,46.27107122
solid,1329,841,46.26996886
scorn,665,499,46.26867555
stroke,800,579,46.26685051
chin,832,597,46.26674432
loser,1535,928,46.26558249
sensat,1258,810,46.26472494
brighter,1346,849,46.26428625
pasar,1026,700,46.26122896
solv,969,671,46.26064214
faut,2765,1341,46.25963136
nel,2040,1116,46.25946577
stiff,502,393,46.25833117
slam,1431,886,46.25793248
unabl,451,357,46.25579359
dive,1679,986,46.25407434
tame,960,667,46.25281052
askin,857,612,46.25190398
penni,1164,768,46.25134638
drunken,583,448,46.25124926
spoil,751,552,46.25001247
butt,1136,755,46.24850687
welt,2664,1314,46.24660513
4x,1195,783,46.24612361
fuss,876,623,46.24436902
mich,11263,2733,46.24337301
futuro,708,527,46.24253242
auto,540,420,46.24112222
net,870,620,46.24095156
revel,1147,761,46.24043232
fare,1579,949,46.23586542
forg,421,336,46.23571039
quel,1390,871,46.23552661
wither,833,600,46.23529913
fai,2469,1258,46.23294923
easier,1538,933,46.23177673
solitud,804,584,46.23086846
general,783,572,46.23071632
strife,648,491,46.22975397
dedic,1308,836,46.22867412
carpet,693,519,46.22692278
declin,567,439,46.22563536
oppress,567,439,46.22563536
repli,946,662,46.22546726
scrape,670,505,46.22525147
sinner,1536,933,46.22456722
bob,1350,855,46.22340337
despit,782,572,46.2230177
rumor,919,648,46.22199397
coffin,822,595,46.22022783
jetzt,3573,1558,46.21919511
shred,465,369,46.21830558
cuenta,1283,826,46.21748315
prevail,653,495,46.21662612
empir,1068,725,46.21592529
inhal,526,412,46.21440641
issu,718,535,46.21424369
matin,798,582,46.21219054
dormir,1019,701,46.21006889
symbol,699,524,46.20744275
cycl,749,554,46.20635925
glue,518,407,46.20552475
dash,692,520,46.20360089
silencio,1359,861,46.203549
booz,571,443,46.2032818
slumber,556,433,46.20309693
leben,3482,1539,46.20097502
strand,1112,748,46.20014847
afar,454,362,46.19992574
dine,664,503,46.19965429
friendship,753,557,46.1975281
bei,2321,1217,46.19719522
avenu,1109,747,46.19527512
disast,1197,789,46.19413842
reap,896,638,46.19339748
inject,561,437,46.19219073
writer,579,449,46.19173108
tension,973,679,46.19166361
puzzl,611,470,46.19027928
zeit,2697,1332,46.19021685
gli,1942,1091,46.18874399
corazon,2872,1382,46.18795535
pollut,574,446,46.18662555
imposs,1555,945,46.18639287
daylight,1770,1029,46.18320393
signal,845,611,46.1805221
sera,2546,1289,46.17989488
retir,599,463,46.17772976
cama,1017,703,46.17611462
immer,4019,1669,46.17551185
leap,710,533,46.17428314
tal,1529,936,46.1726133
sincer,1024,707,46.171166
passag,488,388,46.16943392
closet,711,534,46.1687059
oÌ_,2655,1323,46.16869209
unawar,495,393,46.16854966
shini,907,646,46.16851401
bras,1073,732,46.16653291
metal,2733,1346,46.16633237
os,2348,1230,46.16561152
pathet,596,462,46.16238883
forma,1220,803,46.16062508
fleet,564,441,46.15900634
gloom,588,457,46.15827164
term,591,459,46.15787372
anticip,617,476,46.15702018
ohh,5978,2053,46.15444161
steam,957,674,46.15255172
border,1268,826,46.15090801
lang,2607,1312,46.14753917
fingertip,519,411,46.14696865
atmospher,710,535,46.14600705
unleash,633,487,46.14597617
tattoo,1079,737,46.1445789
version,838,610,46.14358497
flaw,576,450,46.14285983
seul,1979,1110,46.14274771
kein,4622,1804,46.14067305
po,2276,1211,46.13680401
target,858,622,46.13347295
pelo,1099,748,46.13242381
beaten,824,603,46.13198686
sour,671,512,46.13125231
bake,557,438,46.13047627
obsess,1371,874,46.13016003
parad,1500,929,46.12874749
savior,1755,1030,46.12868347
urg,763,568,46.12832133
decept,650,499,46.12816615
decir,1490,925,46.12736545
affair,1666,996,46.12683372
vicious,811,596,46.12669584
corpor,711,537,46.12640291
hombr,1802,1048,46.12594943
wax,706,534,46.12571451
porch,790,584,46.12540684
bush,873,631,46.1250736
ink,603,469,46.12407071
click,1929,1095,46.12136873
admir,580,454,46.1211332
dis,2478,1277,46.12058301
opposit,743,557,46.11664065
rail,663,508,46.11637379
puls,923,659,46.11620471
lÌÊ,2537,1296,46.11379583
blick,602,469,46.11374764
prophet,1061,731,46.11238126
priest,1000,700,46.11172166
obey,926,661,46.11163174
vece,1892,1083,46.11087786
consequ,924,660,46.11073696
querer,1648,991,46.10948881
awhil,1267,830,46.10722949
com,3063,1447,46.10717798
liar,2795,1373,46.10600832
mock,500,400,46.10561093
slice,890,642,46.1050745
vagu,461,372,46.10484665
snap,1346,866,46.10218844
pasado,1053,728,46.10125709
lurk,566,446,46.09863587
kickin,1070,737,46.09621784
shallow,1080,742,46.09610121
pine,885,640,46.09600852
overcom,1145,774,46.09459571
dissolv,594,465,46.09370301
durch,1894,1086,46.0930398
oclock,1279,837,46.09230242
pan,1014,709,46.09178749
senseless,425,346,46.09103158
reveng,1521,942,46.09056174
owe,1814,1057,46.08956186
perman,577,454,46.08871338
estrella,1363,875,46.08799451
pink,1477,924,46.08768068
vent,1479,925,46.08624803
statu,556,440,46.08588024
media,931,666,46.08440637
rug,706,537,46.08345091
logic,622,484,46.08344032
champagn,1012,709,46.08031267
appreci,803,595,46.0802604
biggest,1041,724,46.07860536
reliev,522,417,46.07853532
glisten,455,369,46.07796689
font,895,647,46.0778516
stir,917,659,46.07782901
nuestro,1963,1113,46.0761107
viel,2747,1364,46.07498031
killin,1054,731,46.07410919
pole,809,599,46.07337244
sidewalk,903,652,46.07044092
quell,1722,1025,46.06632289
drew,704,537,46.066185
yea,7543,2319,46.06255446
milk,1379,885,46.06021842
dusk,539,430,46.05812413
esto,2218,1203,46.05785716
tradit,540,431,46.05289966
convict,820,607,46.05207678
calor,1430,908,46.052039
fella,1307,854,46.05079527
seam,694,532,46.049526
soar,916,661,46.04777397
heartach,2244,1213,46.04770066
highest,1014,713,46.04734848
clever,1107,760,46.04711002
bay,1747,1037,46.04672305
nuevo,1584,973,46.04516889
autumn,1206,808,46.04488052
encor,2656,1342,46.04466268
beckon,498,402,46.04414303
negat,841,620,46.0394224
ses,2360,1252,46.03784784
quun,1695,1018,46.03779815
conclus,507,409,46.03364878
muscl,899,653,46.03234608
dull,736,559,46.03218429
mo,2992,1440,46.03083419
deux,1797,1058,46.03056119
distract,824,611,46.03055898
torch,721,550,46.03045971
ere,4327,1764,46.02693679
seein,767,578,46.02677397
unkind,767,578,46.02677397
stink,714,546,46.02645766
deepest,991,703,46.02537861
worthless,722,551,46.02511882
abyss,607,478,46.02462052
observ,533,428,46.0214267
shield,814,606,46.02093631
clay,631,494,46.02032385
powder,611,481,46.01903892
fÌ_r,6134,2109,46.01768855
comb,569,453,46.01759771
program,695,535,46.01596829
ideal,780,587,46.0097729
brutal,712,546,46.00943165
wrath,1059,740,46.00429486
height,829,616,46.00384026
funer,991,705,46.00300249
plein,940,678,46.00118355
liquid,762,577,46.00063622
igual,2208,1208,45.99805506
strive,677,525,45.99773009
neon,1196,808,45.9975638
mot,2127,1181,45.99539115
sake,1450,923,45.9942178
distort,718,551,45.9914478
vast,659,514,45.99142822
sÌ©,3179,1497,45.99093333
drinkin,1456,926,45.99036234
amigo,2261,1227,45.98795233
callin,2241,1221,45.98363889
garbag,627,494,45.9810974
broad,889,652,45.97833404
gown,504,410,45.97832718
lend,966,694,45.97782827
rein,1000,712,45.97769014
mia,3461,1572,45.97760383
gran,1173,799,45.97728583
macht,1717,1034,45.97693989
condemn,808,606,45.97679124
stalk,625,493,45.97643382
instinct,820,613,45.97642911
lower,925,672,45.9763938
flock,565,453,45.97348051
exit,849,630,45.97210031
trop,3004,1453,45.97082215
realm,693,537,45.97033813
jealous,1474,936,45.96976163
sucker,2184,1204,45.96897486
basement,741,567,45.96525092
ir,1437,921,45.96209784
pavement,711,549,45.95952702
microphon,1260,842,45.95946349
web,809,608,45.95887512
mere,795,600,45.95623082
reward,663,519,45.95608863
prefer,763,581,45.95588242
shi,2216,1217,45.95288872
faint,656,515,45.94894027
lonesom,2065,1166,45.94821381
veil,1102,767,45.94794555
bride,1098,765,45.9479204
assur,551,445,45.94664265
curv,651,512,45.94566622
cousin,893,657,45.94540592
lui,2595,1339,45.94401988
spite,1081,757,45.94209785
process,674,527,45.94209184
ces,2528,1319,45.94068421
thread,939,683,45.9374668
devot,1179,806,45.93615118
dit,3052,1472,45.93517716
toast,1302,864,45.9344267
weekend,1855,1092,45.93413115
sparkl,920,673,45.93300258
cope,645,509,45.93268794
nous,6386,2170,45.93236865
structur,438,364,45.92867738
maÌ±ana,1821,1080,45.92810494
aqui,2593,1341,45.92687293
maze,791,600,45.92608367
cent,1140,788,45.92589112
mein,8075,2428,45.92407917
obscur,475,392,45.92309838
fatal,1174,805,45.92197376
pane,579,466,45.9186264
virtu,488,402,45.91491103
plea,693,541,45.91449071
gin,881,653,45.91315473
hammer,2040,1162,45.91290092
pena,2097,1182,45.9127234
penetr,641,508,45.90914793
giant,1024,731,45.90715736
aquÌ_,2956,1450,45.90711888
wink,633,503,45.90558153
credit,1016,727,45.90516053
amus,588,473,45.90486102
insist,512,420,45.9041867
diss,1029,734,45.90291134
l,3724,1650,45.90191982
duck,1292,863,45.90054517
knowin,879,653,45.89976137
pearl,1398,911,45.8989547
lap,759,583,45.89813346
dune,1355,892,45.89756811
vai,3932,1700,45.89733537
breakfast,777,594,45.89611617
blacken,814,616,45.89518169
dug,552,449,45.89267415
confront,618,494,45.89191652
alter,810,614,45.89083867
narrow,714,556,45.88934377
educ,904,668,45.88819696
paso,1789,1073,45.88740709
subject,610,489,45.88682757
coin,900,666,45.88549649
dir,7236,2316,45.882481
bail,1133,789,45.88058302
alcohol,1236,839,45.87984544
vanish,917,676,45.87915918
extra,1287,863,45.8787636
bee,1661,1024,45.87803889
blowin,1438,931,45.87697948
servic,803,611,45.876729
harmoni,1341,888,45.8762909
mort,1713,1045,45.87526169
threaten,489,405,45.874553
phase,861,645,45.87321934
lazi,1771,1068,45.87221056
foundat,589,476,45.86884728
transform,557,454,45.86818298
wenn,7035,2289,45.86626664
generat,2540,1334,45.86588527
toll,1286,864,45.86498136
proper,798,609,45.86463757
stench,506,418,45.86403922
phrase,662,525,45.8608695
market,709,555,45.86040315
retreat,562,458,45.85984366
paus,804,613,45.85907594
landscap,405,342,45.85820706
historia,1271,858,45.8556659
c,4637,1863,45.85497401
bark,721,563,45.85374714
makeup,672,532,45.85317524
notion,664,527,45.8508421
sind,4922,1922,45.85068382
undon,1733,1056,45.85009115
tuck,673,533,45.84816082
awaken,1187,819,45.84575393
pattern,792,607,45.8448273
achiev,834,632,45.84199257
realis,1287,867,45.84116237
limb,1105,779,45.83961159
pitch,632,507,45.83696876
cultur,1254,852,45.83682964
rid,1021,736,45.83630769
comprehend,583,474,45.83628771
endur,921,682,45.83569744
obvious,1120,787,45.83502616
trend,581,473,45.83047843
ve,3465,1599,45.82860417
jam,2515,1332,45.82776206
sweep,1148,802,45.82457016
prend,1226,840,45.82435619
downtown,1652,1027,45.82394032
stroll,792,609,45.81964229
voi,2360,1284,45.81776505
7,1434,936,45.81742434
damag,1730,1059,45.8168208
hypnot,1079,768,45.81663211
absurd,534,441,45.81575319
describ,934,691,45.81520044
cave,1182,820,45.81200253
lyin,1129,794,45.80984416
husband,692,548,45.80898689
x3,1362,905,45.80789623
deliv,1571,996,45.80534061
perhap,893,669,45.80469584
saniti,893,669,45.80469584
zum,2009,1166,45.8019626
disgust,688,546,45.80131042
ici,1494,964,45.80042251
gleam,708,559,45.79766739
debt,843,641,45.79646644
firm,714,563,45.79482692
struck,1000,729,45.79164058
tanta,1714,1056,45.79036593
branch,739,579,45.79002268
colder,994,726,45.78932012
stall,685,545,45.78856082
offic,988,723,45.78687422
outro,794,613,45.78453977
barrel,764,595,45.78229053
footstep,893,671,45.78149048
rode,870,658,45.78000985
grade,720,568,45.77849771
coward,990,725,45.77683443
combin,715,565,45.77648586
friday,1980,1159,45.77609707
slick,885,667,45.77512902
vien,2640,1379,45.77325096
routin,651,524,45.77275245
cheer,1422,936,45.7708943
poder,1705,1055,45.76980636
rearrang,1011,737,45.7687489
grain,1095,781,45.76717909
slay,690,550,45.76403205
12,1104,786,45.76303508
energi,1937,1145,45.76281039
languag,1186,827,45.76271226
mismo,1650,1034,45.7604687
sunlight,1511,976,45.76021672
inch,1379,918,45.76006453
greatest,2105,1206,45.75987045
bubbl,1557,996,45.75632651
heed,772,602,45.75537905
apolog,1347,904,45.75524679
fiend,1122,796,45.75427616
disturb,725,573,45.7538913
sobr,1638,1030,45.75319634
stray,1117,794,45.74893764
fellow,737,581,45.74757441
cett,2120,1213,45.74754086
ought,1389,924,45.74675635
translat,466,395,45.74636672
sympathi,1231,851,45.74210601
havin,1499,973,45.74188561
viento,1632,1029,45.74134697
jet,1326,896,45.74023512
upset,822,634,45.73181357
mond,3231,1555,45.73024438
salt,1247,860,45.729611
homi,2124,1217,45.7291241
electr,2245,1259,45.72727869
justifi,1261,867,45.72661143
dj,2974,1485,45.72480609
slight,704,562,45.72305184
younger,993,732,45.71865761
major,1053,764,45.71823907
ditch,627,512,45.71529802
peu,2178,1238,45.71376069
dish,717,571,45.71350238
kann,3821,1708,45.71258816
chew,1072,775,45.70716558
guilti,2160,1233,45.70504709
piel,2442,1328,45.70127905
contain,681,549,45.698103
teacher,1604,1023,45.69594847
condit,1158,820,45.69573384
usual,1225,853,45.69561894
thorn,1186,834,45.69485231
habit,1398,934,45.69420942
justic,1691,1059,45.69335601
behold,1472,967,45.69304311
bat,1369,921,45.69290216
compass,809,630,45.68599518
vas,3827,1715,45.68277913
rollin,3607,1661,45.68244087
moan,1267,875,45.67871465
fond,1429,951,45.66719525
dusti,665,541,45.6637952
bug,1161,825,45.66158302
latest,623,513,45.66157077
mÌ»me,3376,1606,45.65873265
button,1014,749,45.65829475
luna,2656,1402,45.65827616
essenc,627,516,45.65750412
health,876,672,45.65719448
conscious,825,642,45.65688545
bind,1010,747,45.65664507
jai,8035,2489,45.65588212
chicken,1769,1095,45.65537503
ganz,2813,1450,45.65405453
strain,1064,776,45.65404693
wird,3241,1571,45.65341858
borrow,1301,894,45.6522159
fuel,1159,825,45.65182129
camera,1187,839,45.65148777
whistl,1436,956,45.65098014
rub,1292,890,45.64994065
denn,4290,1829,45.6484669
appeal,712,573,45.64493538
organ,1060,775,45.64273382
backward,1161,827,45.64213994
blunt,1254,873,45.63946916
swore,983,734,45.63868837
motiv,961,722,45.63723818
ghetto,3267,1581,45.63625275
player,1639,1045,45.63556252
claw,912,695,45.63107886
sourc,1037,764,45.63038655
conceal,808,634,45.63008426
ambit,793,625,45.62858786
sole,1608,1033,45.62832042
contempl,585,489,45.62829801
forti,922,701,45.62758046
glimps,713,575,45.627071
invent,762,606,45.6270521
tap,1144,820,45.62679338
cara,1925,1159,45.62607506
fog,957,721,45.62394079
rotten,1064,779,45.62339195
effort,548,463,45.62317213
feliz,2194,1257,45.62053762
puttin,967,727,45.6191136
tax,658,540,45.61330172
corps,1330,912,45.6125678
politician,733,589,45.61121936
quien,3419,1626,45.60972097
collaps,969,729,45.60949486
torment,931,708,45.60649983
actual,769,612,45.60647008
increas,587,492,45.60435771
mail,885,682,45.60244552
mirada,1319,908,45.60221261
neighborhood,1056,777,45.60063762
quest,1445,966,45.59966514
pot,1278,889,45.59820506
poet,797,630,45.5974035
temp,3391,1621,45.5966113
consid,1134,818,45.59658477
colleg,671,550,45.59476362
error,913,699,45.59273472
warmth,1047,773,45.59259308
file,824,647,45.59002402
demis,916,701,45.58956483
belli,1354,926,45.58743651
trash,1535,1007,45.58722175
jamai,2877,1480,45.58640509
complic,1406,950,45.5862521
chart,776,618,45.58595227
deck,994,745,45.5857889
intens,553,469,45.58574175
chao,1794,1114,45.58547464
photo,688,562,45.5841771
nach,2811,1461,45.58325882
defens,927,708,45.58147126
hier,4850,1963,45.58096484
remors,650,537,45.58049652
preacher,1354,927,45.57860794
plagu,1148,827,45.57841313
sui,4718,1936,45.57836114
childhood,603,505,45.57765366
advanc,632,525,45.57760533
gay,1238,872,45.57675801
bond,1130,818,45.57654882
island,2198,1265,45.57521497
industri,797,632,45.57311896
cancer,920,705,45.57054122
mehr,4730,1941,45.56639044
teas,1323,914,45.5653449
dann,4191,1823,45.56514036
weigh,900,694,45.56504702
howl,1383,942,45.56451663
surrend,3253,1590,45.56345978
hid,669,551,45.56306255
junto,2144,1248,45.56160398
especi,1032,768,45.56132455
appl,1532,1009,45.5600636
arrang,587,495,45.55960717
pose,1219,865,45.55514034
momma,2493,1367,45.55466804
fri,1295,902,45.55392727
thru,1726,1091,45.5537429
sway,1339,923,45.55214404
blank,1028,767,45.54936971
asham,1690,1077,45.54865495
swift,702,574,45.54662027
herself,1225,869,45.54542214
deceit,673,555,45.54496944
tore,985,744,45.54394498
tend,834,657,45.54302042
profit,734,595,45.54255681
foe,898,695,45.54087113
mc,2964,1513,45.54073245
valu,847,665,45.54061903
host,680,560,45.54028445
bent,1336,923,45.53969386
explor,656,544,45.539659
movin,3497,1659,45.53950593
coast,2448,1355,45.53782101
20,1227,871,45.53599151
thigh,885,688,45.53443628
manag,909,702,45.53379221
womb,722,588,45.53343462
nuit,2206,1274,45.53290147
rout,1071,792,45.52929866
risk,1193,855,45.52776024
palabra,1659,1067,45.52686183
despis,901,698,45.5268008
mood,2275,1299,45.52529158
lunch,666,552,45.52225322
add,1368,940,45.52161063
flicker,648,540,45.52019126
soil,1039,776,45.51799037
crap,680,562,45.51352562
assum,570,486,45.51295415
x4,1446,977,45.51013377
relief,798,638,45.50814258
entir,568,485,45.50631485
8,1294,907,45.50465038
neither,1018,766,45.50362904
drank,1308,914,45.50194186
deaf,847,669,45.49431478
insecur,901,701,45.49342672
respons,971,741,45.49317192
photograph,1247,886,45.48836952
feather,1315,919,45.48715211
group,908,706,45.48312736
odd,1154,840,45.48276713
squar,1693,1087,45.48062537
killer,2553,1398,45.48022728
glove,1015,767,45.47639912
dove,2553,1399,45.47393935
lawn,656,549,45.47130989
anim,3168,1583,45.47046521
fifti,1023,772,45.4700434
toujour,2686,1442,45.46720092
social,1076,801,45.46596591
rust,1035,779,45.46536943
compromis,1249,890,45.46084027
dem,11372,2964,45.45751283
mend,1542,1026,45.45682878
castl,1287,909,45.45654127
root,2149,1266,45.45029049
razor,1105,818,45.44969556
prize,1241,888,45.44315179
experi,1077,804,45.44151024
sneak,893,701,45.44149727
provid,955,737,45.43976747
row,1968,1201,45.439623
mall,800,645,45.43930735
amongst,768,625,45.43844114
dread,1487,1004,45.43829153
sack,1095,814,45.43722829
pit,1162,849,45.43617721
progress,1006,766,45.43562461
frighten,1309,922,45.43519897
rag,1152,844,45.43486938
opinion,954,737,45.43371921
larg,873,690,45.43219543
helpless,1442,985,45.42771287
mud,1114,825,45.42761543
cute,1065,799,45.42735157
center,1131,834,45.4265199
thirst,997,762,45.42534618
jacket,700,582,45.42516432
desd,2018,1222,45.42384878
horror,1228,884,45.42079343
shook,1186,863,45.41967771
speech,719,595,45.41899483
drip,1688,1093,45.41848457
reject,1137,838,45.4180989
paradis,3522,1688,45.41716234
devour,939,730,45.41687305
sunset,1519,1021,45.41548913
righteous,1238,890,45.41142064
purpl,1118,829,45.40925068
flee,707,588,45.40755268
ceas,1093,816,45.40729481
bis,2699,1456,45.40638866
thug,2795,1486,45.40348936
infect,1081,810,45.40341416
slept,1066,802,45.40291651
unit,2184,1286,45.39943829
board,1452,993,45.39891735
ego,1223,884,45.39797293
excit,1968,1207,45.39705477
terribl,1240,893,45.39320362
fragil,1157,851,45.39300132
quil,2857,1507,45.39000795
screw,1455,996,45.38534076
introduc,733,607,45.38305848
oil,1129,838,45.37823203
envi,1442,991,45.37767087
bastard,1549,1039,45.37686534
sous,1939,1199,45.37530262
mourn,1196,873,45.37400408
dar,1776,1135,45.37370535
juic,1180,865,45.37256633
inform,1090,818,45.37219988
stolen,1141,845,45.37127794
code,1243,897,45.37051371
mill,1205,878,45.36996773
violent,1565,1047,45.36888658
rainbow,2766,1483,45.36843975
couch,837,674,45.36721153
hug,1450,996,45.36649299
sentir,2092,1258,45.36400794
disgrac,1158,855,45.36022702
chip,1420,983,45.36008372
vor,2201,1298,45.35958885
scale,797,650,45.3579628
cd,770,633,45.3568663
interest,1072,810,45.35592919
attract,1203,879,45.35148658
peel,1052,800,45.34750713
needl,1782,1141,45.34720683
skip,1361,957,45.34654086
wherev,2841,1510,45.34386993
recuerdo,1943,1205,45.3436317
captur,1333,944,45.34355364
9,1530,1035,45.34181269
afford,1240,899,45.33900814
piano,1563,1050,45.33814756
blanket,841,679,45.33814243
pistol,1149,853,45.33510831
kneel,1246,903,45.32997635
curl,918,726,45.32894016
core,1354,956,45.32665433
failur,1267,914,45.32486125
darken,962,752,45.32385492
leavin,2136,1280,45.32369734
success,1064,809,45.32319782
foul,847,684,45.32311255
display,805,658,45.32302396
pump,2479,1399,45.3227838
crook,1453,1003,45.32004859
traffic,1054,804,45.3187443
mil,1773,1143,45.30538325
bloom,1453,1005,45.30361983
boil,958,752,45.2998839
everytim,2774,1497,45.2997456
victori,1837,1170,45.29683607
soak,1181,874,45.29404437
bathroom,768,637,45.29343175
na,30983,4463,45.29269457
port,1335,951,45.29152063
nadi,3735,1767,45.28906648
cling,1250,910,45.28528126
frown,1252,911,45.28527871
tank,894,716,45.28342791
preach,1040,800,45.28220723
siren,1161,865,45.28142421
gang,2088,1269,45.27911061
mir,10269,2886,45.27866608
trigger,1530,1043,45.27792477
aux,2384,1375,45.27297568
rare,1004,781,45.27125793
useless,1205,889,45.26955226
deed,1032,797,45.26798634
astray,1169,871,45.26443562
destino,1368,970,45.26434551
saint,2276,1339,45.26425862
lane,1896,1198,45.26372907
stab,1559,1058,45.26113482
plead,1056,811,45.2607279
vow,1114,843,45.2551934
sont,3053,1589,45.25106112
print,664,571,45.2508295
foolish,1866,1188,45.25047995
stake,1025,795,45.24908874
yearn,1251,915,45.2453398
tea,1505,1036,45.2442383
givin,2429,1395,45.24311352
honor,1392,984,45.24244121
tragedi,1317,948,45.2423294
understood,1203,891,45.24215095
pipe,1004,784,45.24102105
